GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-203952-1626181-1630558-1641796-1642276-,A. Wiggins - N. Powell - D. Mitchell - P. Larsson - K. Ware,1610612748,MIA,7,4,3,0.571,90.0,116.3,118.5,124.0,125.6,-7.7,-7.1,0.596,2.41,19.1,0.247,0.6,0.435,0.11,0.563,0.593,108.6,106.86,89.05,200,0.472,3,4,116,75,1,43,83,71,67,19,50,50,77,71,70,46,53,75,66,268850
Lineups,-203952-1630696-1631107-1631170-1631323-,A. Wiggins - D. Smith - N. Jović - J. Jaquez Jr. - S. Fontecchio,1610612748,MIA,7,4,3,0.571,72.0,106.9,108.5,103.5,104.9,3.4,3.5,0.683,1.59,17.9,0.376,0.66,0.527,0.164,0.529,0.565,111.0,109.45,91.21,165,0.519,3,4,116,75,2,56,65,52,53,34,56,34,71,47,83,54,58,64,57,215105
Lineups,-203952-1626181-1628389-1630558-1641796-,A. Wiggins - N. Powell - B. Adebayo - D. Mitchell - P. Larsson,1610612748,MIA,4,2,2,0.5,48.0,137.7,139.4,102.1,105.0,35.7,34.4,0.792,6.33,26.6,0.15,0.66,0.425,0.061,0.671,0.703,101.6,99.53,82.95,99,0.667,11,20,102,78,3,25,66,33,41,1,18,64,72,75,55,28,34,101,38,143950
Lineups,-1630696-1631107-1631170-1631323-1642276-,D. Smith - N. Jović - J. Jaquez Jr. - S. Fontecchio - K. Ware,1610612748,MIA,7,4,3,0.571,44.0,118.2,117.0,118.5,116.7,-0.3,0.4,0.707,1.53,22.1,0.235,0.517,0.415,0.202,0.649,0.679,106.4,107.77,89.81,94,0.496,3,4,116,75,4,44,74,55,51,35,36,52,80,78,97,34,38,72,61,130950
Lineups,-203952-1626181-1630558-1631170-1642276-,A. Wiggins - N. Powell - D. Mitchell - J. Jaquez Jr. - K. Ware,1610612748,MIA,9,6,3,0.667,41.0,112.6,115.1,111.1,113.0,1.5,2.0,0.718,4.0,20.3,0.333,0.6,0.472,0.075,0.506,0.54,110.4,108.29,90.24,93,0.544,1,2,116,67,5,47,72,54,47,6,40,37,77,64,59,59,67,70,54,123000
Lineups,-1626181-1630558-1631170-1641796-1642276-,N. Powell - D. Mitchell - J. Jaquez Jr. - P. Larsson - K. Ware,1610612748,MIA,9,7,2,0.778,37.0,108.3,104.8,92.8,87.2,15.5,17.6,0.571,1.67,17.7,0.225,0.786,0.512,0.143,0.527,0.562,103.9,108.95,90.79,84,0.587,1,1,102,63,6,62,47,45,68,33,57,53,41,48,81,55,60,67,48,112350
Lineups,-203952-1626181-1628389-1629639-1630558-,A. Wiggins - N. Powell - B. Adebayo - T. Herro - D. Mitchell,1610612748,MIA,2,1,1,0.5,36.0,110.2,106.0,120.7,122.5,-10.6,-16.5,0.643,2.57,16.7,0.175,0.75,0.447,0.084,0.471,0.551,106.1,107.4,89.5,83,0.455,32,39,62,78,7,60,80,78,60,15,59,62,45,70,61,78,64,73,68,109270
Lineups,-203952-1628389-1630558-1631170-1641796-,A. Wiggins - B. Adebayo - D. Mitchell - J. Jaquez Jr. - P. Larsson,1610612748,MIA,5,3,2,0.6,33.0,130.7,131.1,95.7,97.1,34.9,34.0,0.676,6.25,23.4,0.242,0.686,0.471,0.054,0.612,0.636,104.3,103.47,86.22,74,0.696,8,9,102,73,9,30,54,34,54,2,31,51,54,65,54,40,46,87,35,98815
Lineups,-1628389-1630696-1631107-1631170-1631323-,B. Adebayo - D. Smith - N. Jović - J. Jaquez Jr. - S. Fontecchio,1610612748,MIA,5,3,2,0.6,33.0,140.5,136.3,78.6,79.2,61.9,57.0,0.757,2.8,23.3,0.4,0.778,0.627,0.125,0.659,0.712,111.5,112.81,94.01,80,0.822,8,9,102,73,8,26,36,20,42,14,32,27,42,25,77,33,32,52,29,100200
Lineups,-203952-1626181-1628389-1630558-1642276-,A. Wiggins - N. Powell - B. Adebayo - D. Mitchell - K. Ware,1610612748,MIA,4,3,1,0.75,32.0,109.0,107.9,114.3,116.7,-5.2,-8.8,0.875,1.31,19.8,0.273,0.703,0.5,0.211,0.557,0.619,111.9,111.35,92.79,76,0.497,11,9,62,64,10,57,74,74,35,37,48,44,53,50,99,48,47,61,60,95700
